mode,round,train_loss,test_acc,alpha_feasible,alpha_init,selected_A,selected_R,selected_CV,selected_guidance_alignment,limiting_constraint,boundary_left,boundary_right
strict,34,1.251,21.270,0.001778,0.001778,0.656336,0.859666,0.000000,1.000000,sign,radial:ratio=0.00177765:score=0.998226:violation=0|sign:ratio=0.996974:score=0.500758:violation=0,radial:ratio=0.00178528:score=0.998218:violation=0|sign:ratio=1.00271:score=0.499324:violation=0.00270867
strict,35,1.218,53.920,,,,,,,,,
strict,36,1.233,27.550,0.001663,0.001663,0.607699,0.853749,0.000000,1.000000,sign,radial:ratio=0.00166321:score=0.99834:violation=0|sign:ratio=0.997938:score=0.500516:violation=0,radial:ratio=0.00167084:score=0.998332:violation=0|sign:ratio=1.00311:score=0.499224:violation=0.00310779
strict,37,1.188,33.420,0.001579,0.001579,0.600074,0.857809,0.000000,1.000000,sign,radial:ratio=0.00157928:score=0.998423:violation=0|sign:ratio=0.997361:score=0.500661:violation=0,radial:ratio=0.00158691:score=0.998416:violation=0|sign:ratio=1.00371:score=0.499074:violation=0.00371027
strict,38,1.158,30.520,0.001793,0.001793,0.651560,0.857723,0.000000,1.000000,sign,radial:ratio=0.00179291:score=0.99821:violation=0|sign:ratio=0.996723:score=0.500821:violation=0,radial:ratio=0.00180054:score=0.998203:violation=0|sign:ratio=1.00234:score=0.499415:violation=0.00234199
strict,39,1.161,27.770,0.001358,0.001358,0.652956,0.857609,0.000000,1.000000,sign,radial:ratio=0.00135803:score=0.998644:violation=0|sign:ratio=0.996555:score=0.500863:violation=0,radial:ratio=0.00136566:score=0.998636:violation=0|sign:ratio=1.00341:score=0.499148:violation=0.00341308
strict,40,1.116,27.730,0.001106,0.001106,0.663293,0.856388,0.000000,1.000000,sign,radial:ratio=0.00110626:score=0.998895:violation=0|sign:ratio=0.992281:score=0.501937:violation=0,radial:ratio=0.00111389:score=0.998887:violation=0|sign:ratio=1.00066:score=0.499834:violation=0.00066328
strict,41,1.127,31.110,0.001289,0.001289,0.713472,0.856677,0.000000,1.000000,sign,radial:ratio=0.00128937:score=0.998712:violation=0|sign:ratio=0.997376:score=0.500657:violation=0,radial:ratio=0.001297:score=0.998705:violation=0|sign:ratio=1.0048:score=0.498804:violation=0.00479615
strict,42,1.096,40.890,0.000916,0.000916,0.551375,0.860725,0.000000,0.037073,sign,radial:ratio=0.000915527:score=0.999085:violation=0|sign:ratio=0.994043:score=0.501494:violation=0,radial:ratio=0.000923157:score=0.999078:violation=0|sign:ratio=1.00538:score=0.498659:violation=0.00537777
strict,43,1.105,31.600,0.000885,0.000885,0.641760,0.856384,0.000000,1.000000,sign,radial:ratio=0.00088501:score=0.999116:violation=0|sign:ratio=0.997194:score=0.500703:violation=0,radial:ratio=0.000892639:score=0.999108:violation=0|sign:ratio=1.0078:score=0.498058:violation=0.00779998
strict,44,1.054,60.080,0.000702,0.000702,0.642474,0.857018,0.000000,1.000000,sign,radial:ratio=0.000701904:score=0.999299:violation=0|sign:ratio=0.991875:score=0.502039:violation=0,radial:ratio=0.000709534:score=0.999291:violation=0|sign:ratio=1.00523:score=0.498695:violation=0.0052321
strict,45,1.097,43.380,0.000893,0.000893,0.567419,0.855328,0.000000,1.000000,sign,radial:ratio=0.000892639:score=0.999108:violation=0|sign:ratio=0.994729:score=0.501321:violation=0,radial:ratio=0.000900268:score=0.999101:violation=0|sign:ratio=1.0047:score=0.498828:violation=0.00469935
strict,46,1.036,60.660,0.000473,0.000473,0.542629,0.860689,0.000000,1.000000,sign,radial:ratio=0.000473022:score=0.999527:violation=0|sign:ratio=0.984591:score=0.503882:violation=0,radial:ratio=0.000480652:score=0.99952:violation=0|sign:ratio=1.00633:score=0.498423:violation=0.00632954
strict,47,1.037,52.310,0.000687,0.000687,0.619290,0.857785,0.000000,1.000000,sign,radial:ratio=0.000686646:score=0.999314:violation=0|sign:ratio=0.990533:score=0.502378:violation=0,radial:ratio=0.000694275:score=0.999306:violation=0|sign:ratio=1.00448:score=0.498881:violation=0.00448465
strict,48,1.014,50.140,0.000458,0.000458,0.470332,0.856692,0.000000,1.000000,sign,radial:ratio=0.000457764:score=0.999542:violation=0|sign:ratio=0.991273:score=0.502191:violation=0,radial:ratio=0.000465393:score=0.999535:violation=0|sign:ratio=1.01055:score=0.497377:violation=0.0105457
strict,49,1.003,43.500,0.000443,0.000443,0.590879,0.855488,0.000000,1.000000,sign,radial:ratio=0.000442505:score=0.999558:violation=0|sign:ratio=0.996881:score=0.500781:violation=0,radial:ratio=0.000450134:score=0.99955:violation=0|sign:ratio=1.01906:score=0.49528:violation=0.0190589
strict,50,0.971,54.340,0.000671,0.000671,0.539973,0.859542,0.000000,1.000000,sign,radial:ratio=0.000671387:score=0.999329:violation=0|sign:ratio=0.985894:score=0.503551:violation=0,radial:ratio=0.000679016:score=0.999321:violation=0|sign:ratio=1.00076:score=0.499811:violation=0.000756145
strict,51,0.958,56.870,0.000580,0.000580,0.527586,0.856719,0.000000,1.000000,sign,radial:ratio=0.000579834:score=0.999421:violation=0|sign:ratio=0.988733:score=0.502833:violation=0,radial:ratio=0.000587463:score=0.999413:violation=0|sign:ratio=1.00442:score=0.498897:violation=0.00442016
strict,52,0.974,46.270,0.000542,0.000542,0.658321,0.858363,0.000000,1.000000,sign,radial:ratio=0.000541687:score=0.999459:violation=0|sign:ratio=0.9935:score=0.50163:violation=0,radial:ratio=0.000549316:score=0.999451:violation=0|sign:ratio=1.01249:score=0.496896:violation=0.0124918
strict,53,0.978,40.360,0.000450,0.000450,0.573226,0.858752,0.000000,1.000000,sign,radial:ratio=0.000450134:score=0.99955:violation=0|sign:ratio=0.986399:score=0.503424:violation=0,radial:ratio=0.000457764:score=0.999542:violation=0|sign:ratio=1.00806:score=0.497992:violation=0.00806284
strict,54,0.938,55.870,0.000366,0.000366,0.566956,0.856774,0.000000,1.000000,sign,radial:ratio=0.000366211:score=0.999634:violation=0|sign:ratio=0.983762:score=0.504093:violation=0,radial:ratio=0.00037384:score=0.999626:violation=0|sign:ratio=1.01133:score=0.497183:violation=0.0113301
strict,55,0.915,48.380,0.000328,0.000328,0.554897,0.857079,0.000000,1.000000,sign,radial:ratio=0.000328064:score=0.999672:violation=0|sign:ratio=0.99811:score=0.500473:violation=0,radial:ratio=0.000335693:score=0.999664:violation=0|sign:ratio=1.02722:score=0.493286:violation=0.0272211
strict,56,0.930,63.820,0.000450,0.000450,0.696102,0.859022,0.000000,1.000000,sign,radial:ratio=0.000450134:score=0.99955:violation=0|sign:ratio=0.989411:score=0.502661:violation=0,radial:ratio=0.000457764:score=0.999542:violation=0|sign:ratio=1.01135:score=0.497179:violation=0.0113487
strict,57,0.942,58.010,0.000374,0.000374,0.417823,0.858571,0.000000,1.000000,sign,radial:ratio=0.00037384:score=0.999626:violation=0|sign:ratio=0.986594:score=0.503374:violation=0,radial:ratio=0.00038147:score=0.999619:violation=0|sign:ratio=1.01228:score=0.496948:violation=0.0122836
strict,58,0.897,59.700,0.000237,0.000237,0.430411,0.858914,0.000000,1.000000,sign,radial:ratio=0.000236511:score=0.999764:violation=0|sign:ratio=0.983279:score=0.504215:violation=0,radial:ratio=0.000244141:score=0.999756:violation=0|sign:ratio=1.02446:score=0.49396:violation=0.0244575
strict,59,0.882,61.510,0.000381,0.000381,0.561204,0.858716,0.000000,1.000000,sign,radial:ratio=0.00038147:score=0.999619:violation=0|sign:ratio=0.989517:score=0.502635:violation=0,radial:ratio=0.000389099:score=0.999611:violation=0|sign:ratio=1.01617:score=0.495991:violation=0.0161676
